entity:pedigree_id	FamilyID	FatherID	MotherID	Population	Sex	Superpopulation
HG03746	ST050	0	0	STU	1	SAS
HG03750	ST051	0	0	STU	1	SAS
HG03752	ST053	0	0	STU	2	SAS
HG03753	ST054	0	0	STU	1	SAS
HG03754	ST051	0	0	STU	2	SAS
HG03755	ST052	0	0	STU	1	SAS
HG03756	ST052	0	0	STU	2	SAS
HG03757	ST046	0	0	STU	2	SAS
HG03760	ST058	0	0	STU	2	SAS
HG03761	PK63	0	0	PJL	1	SAS
HG03762	PK63	0	0	PJL	2	SAS
HG03763	PK63	HG03761	HG03762	PJL	1	SAS
HG03765	PK64	0	0	PJL	2	SAS
HG03767	PK65	0	0	PJL	1	SAS
HG03770	IT016	0	0	ITU	2	SAS
HG03771	IT016	0	0	ITU	1	SAS
HG03772	IT004	0	0	ITU	2	SAS
HG03773	IT004	0	0	ITU	1	SAS
HG03774	IT020	0	0	ITU	2	SAS
HG03775	IT020	0	0	ITU	1	SAS
HG03777	IT022	0	0	ITU	1	SAS
HG03778	IT21	0	0	ITU	1	SAS
HG03779	IT019	0	0	ITU	1	SAS
HG03780	IT039	0	0	ITU	2	SAS
HG03781	IT018	0	0	ITU	2	SAS
HG03782	IT029	0	0	ITU	2	SAS
HG03784	IT023	0	0	ITU	2	SAS
HG03785	IT024	0	0	ITU	1	SAS
HG03786	IT023	0	0	ITU	1	SAS
HG03787	IT027	0	0	ITU	2	SAS
HG03788	IT028	0	0	ITU	1	SAS
HG03789	IT028	0	0	ITU	2	SAS
HG03790	IT025	0	0	ITU	1	SAS
HG03792	IT026	0	0	ITU	1	SAS
HG03793	BD15	0	0	BEB	2	SAS
HG03794	BD15	0	0	BEB	1	SAS
HG03795	BD15	HG03794	HG03793	BEB	1	SAS
HG03796	BD16	0	0	BEB	2	SAS
HG03797	BD16	0	0	BEB	1	SAS
HG03798	BD16	HG03797	HG03796	BEB	1	SAS
HG03799	BD17	0	0	BEB	2	SAS
HG03800	BD17	0	0	BEB	1	SAS
HG03801	BD17	HG03800	HG03799	BEB	2	SAS
HG03802	BD18	0	0	BEB	2	SAS
HG03803	BD18	0	0	BEB	1	SAS
HG03804	BD18	HG03803	HG03802	BEB	2	SAS
HG03805	BD19	0	0	BEB	2	SAS
HG03806	BD19	0	0	BEB	1	SAS
HG03807	BD19	HG03806	HG03805	BEB	2	SAS
HG03808	BD20	0	0	BEB	2	SAS
HG03809	BD20	0	0	BEB	1	SAS
HG03812	HG03812	0	0	BEB	1	SAS
HG03814	BD22	0	0	BEB	2	SAS
HG03815	BD22	0	0	BEB	1	SAS
HG03816	BD22	HG03815	HG03814	BEB	2	SAS
HG03817	BD23	0	0	BEB	2	SAS
HG03821	BD24	0	0	BEB	1	SAS
HG03823	BD25	0	0	BEB	2	SAS
HG03824	BD25	0	0	BEB	1	SAS
HG03825	BD25	HG03824	HG03823	BEB	2	SAS
HG03826	BD26	0	0	BEB	2	SAS
HG03829	BD27	0	0	BEB	2	SAS
HG03830	BD27	0	0	BEB	1	SAS
HG03831	BD27	HG03830	HG03829	BEB	2	SAS
HG03832	BD28	0	0	BEB	2	SAS
HG03833	BD28	0	0	BEB	1	SAS
HG03834	BD28	HG03833	HG03832	BEB	2	SAS
HG03836	ST074	0	0	STU	2	SAS
HG03837	ST079	0	0	STU	1	SAS
HG03838	ST078	0	0	STU	2	SAS
HG03844	ST075	0	0	STU	1	SAS
HG03846	ST080	0	0	STU	1	SAS
HG03848	ST084	0	0	STU	1	SAS
HG03849	ST082	0	0	STU	2	SAS
HG03850	ST082	0	0	STU	1	SAS
HG03851	ST089	0	0	STU	1	SAS
HG03854	ST094	0	0	STU	1	SAS
HG03856	ST092	0	0	STU	1	SAS
HG03857	ST091	0	0	STU	2	SAS
HG03858	ST090	0	0	STU	2	SAS
HG03861	IT032	0	0	ITU	2	SAS
HG03862	IT035	0	0	ITU	2	SAS
HG03863	IT033	0	0	ITU	2	SAS
HG03864	IT034	0	0	ITU	1	SAS
HG03866	IT030	0	0	ITU	1	SAS
HG03867	IT038	0	0	ITU	1	SAS
HG03868	IT5	0	0	ITU	2	SAS
HG03869	IT035	0	0	ITU	1	SAS
HG03870	IT037	0	0	ITU	1	SAS
HG03871	HG03871	0	0	ITU	1	SAS
HG03872	IT036	0	0	ITU	1	SAS
HG03873	IT030	0	0	ITU	2	SAS
HG03874	IT006	0	0	ITU	2	SAS
HG03875	IT40	0	0	ITU	1	SAS
HG03882	IT039a	0	0	ITU	2	SAS
HG03884	ST039	0	0	STU	2	SAS
HG03885	ST016	0	0	STU	1	SAS
HG03886	ST016	0	0	STU	2	SAS
HG03887	ST106	0	0	STU	1	SAS
HG03888	ST050	0	0	STU	2	SAS
HG03890	ST110	0	0	STU	1	SAS
HG03894	ST111	0	0	STU	2	SAS
HG03895	ST107	0	0	STU	2	SAS
HG03896	ST111	0	0	STU	1	SAS
HG03897	ST115	0	0	STU	2	SAS
HG03898	ST114	0	0	STU	2	SAS
HG03899	ST114	0	0	STU	1	SAS
HG03900	ST115	0	0	STU	1	SAS
HG03902	HG03902	0	0	BEB	1	SAS
HG03904	BD30	0	0	BEB	2	SAS
HG03905	BD30	0	0	BEB	1	SAS
HG03906	BD30	HG03905	HG03904	BEB	1	SAS
HG03907	BD31	0	0	BEB	2	SAS
HG03908	BD31	0	0	BEB	1	SAS
HG03909	BD31	HG03908	HG03907	BEB	1	SAS
HG03910	BD32	0	0	BEB	2	SAS
HG03911	BD32	0	0	BEB	1	SAS
HG03913	BD33	0	0	BEB	2	SAS
HG03914	BD33	0	0	BEB	1	SAS
HG03915	BD33	HG03914	HG03913	BEB	2	SAS
HG03916	HG03916	0	0	BEB	2	SAS
HG03917	BD34	0	0	BEB	1	SAS
HG03919	BD35	0	0	BEB	2	SAS
HG03920	BD35	0	0	BEB	1	SAS
HG03922	BD36	0	0	BEB	2	SAS
HG03925	BD37	0	0	BEB	2	SAS
HG03926	BD37	0	0	BEB	1	SAS
HG03927	BD37	HG03926	HG03925	BEB	2	SAS
HG03928	BD38	0	0	BEB	2	SAS
HG03929	BD38	0	0	BEB	1	SAS
HG03930	BD38	HG03929	HG03928	BEB	2	SAS
HG03931	BD39	0	0	BEB	2	SAS
HG03934	BD40	0	0	BEB	2	SAS
HG03937	BD41	0	0	BEB	2	SAS
HG03940	BD42	0	0	BEB	2	SAS
HG03941	BD42	0	0	BEB	1	SAS
HG03942	BD42	HG03941	HG03940	BEB	1	SAS
HG03943	ST116	0	0	STU	1	SAS
HG03944	ST116	0	HG04067	STU	2	SAS
HG03945	ST117	0	0	STU	2	SAS
HG03947	ST118	0	0	STU	2	SAS
HG03949	ST123	0	0	STU	2	SAS
HG03950	ST090	0	0	STU	1	SAS
HG03951	ST013	0	0	STU	2	SAS
HG03953	ST122	0	0	STU	1	SAS
HG03955	ST119	0	0	STU	2	SAS
HG03960	IT044	0	0	ITU	1	SAS
HG03963	IT042	0	0	ITU	1	SAS
HG03965	IT45	0	0	ITU	1	SAS
HG03967	IT51	0	0	ITU	1	SAS
HG03968	IT046	0	0	ITU	2	SAS
HG03969	IT046	0	0	ITU	1	SAS
HG03971	IT048	0	0	ITU	1	SAS
HG03973	IT050	0	0	ITU	2	SAS
HG03974	IT049	0	0	ITU	1	SAS
HG03976	IT050	0	0	ITU	1	SAS
HG03977	IT047	0	0	ITU	2	SAS
HG03978	IT047	0	0	ITU	1	SAS
HG03985	ST144	0	0	STU	1	SAS
HG03986	ST106	0	0	STU	2	SAS
HG03989	ST145	0	0	STU	2	SAS
HG03990	ST142	0	0	STU	1	SAS
HG03991	ST143	0	0	STU	1	SAS
HG03992	ST116	HG03943	HG03944	STU	1	SAS
HG03995	ST021	0	0	STU	2	SAS
HG03998	ST147	0	0	STU	1	SAS
HG03999	ST007	0	0	STU	1	SAS
HG04001	IT053	0	0	ITU	2	SAS
HG04002	IT053	0	0	ITU	1	SAS
HG04003	ST152	0	0	STU	1	SAS
HG04006	ST078	0	0	STU	1	SAS
HG04014	IT059	0	0	ITU	2	SAS
HG04015	IT060	0	0	ITU	1	SAS
HG04017	IT061	0	0	ITU	1	SAS
HG04018	IT007	0	0	ITU	2	SAS
HG04019	IT056	0	0	ITU	1	SAS
HG04020	IT059	0	0	ITU	1	SAS
HG04022	IT062	0	0	ITU	1	SAS
HG04023	IT058	0	0	ITU	1	SAS
HG04025	IT058	0	0	ITU	2	SAS
HG04026	IT061	0	0	ITU	2	SAS
HG04029	ST154	0	0	STU	2	SAS
HG04033	ST076	0	0	STU	1	SAS
HG04035	ST094	0	0	STU	2	SAS
HG04036	ST116	HG03943	HG03944	STU	2	SAS
HG04038	ST170	0	0	STU	2	SAS
HG04039	ST172	0	0	STU	1	SAS
HG04042	ST171	0	0	STU	2	SAS
HG04047	ST173	0	0	STU	2	SAS
HG04054	IT180	0	0	ITU	2	SAS
HG04056	IT180	0	0	ITU	1	SAS
HG04059	IT184	0	0	ITU	2	SAS
HG04060	IT183	0	0	ITU	1	SAS
HG04061	IT182	0	0	ITU	1	SAS
HG04062	IT182	0	0	ITU	2	SAS
HG04063	IT183	0	0	ITU	2	SAS
HG04070	IT45	0	0	ITU	2	SAS
HG04075	ST190	0	0	STU	2	SAS
HG04076	IT191	0	0	ITU	2	SAS
HG04080	IT194	0	0	ITU	1	SAS
HG04090	IT199	0	0	ITU	2	SAS
HG04093	IT199	0	0	ITU	1	SAS
HG04094	IT201	0	0	ITU	1	SAS
HG04096	IT202	0	0	ITU	1	SAS
HG04098	IT205	0	0	ITU	1	SAS
HG04099	ST203	0	0	STU	2	SAS
HG04100	ST203	0	0	STU	1	SAS
HG04106	ST176	0	0	STU	2	SAS
HG04107	ST176	0	0	STU	1	SAS
HG04115	ST111	HG03896	HG03894	STU	1	SAS
HG04118	IT214	0	0	ITU	2	SAS
HG04122	ST190	HG04127	HG04075	STU	1	SAS
HG04127	ST190	0	0	STU	1	SAS
HG04131	BD44	0	0	BEB	1	SAS
HG04132	BD44	0	0	BEB	2	SAS
HG04133	BD44	HG04131	HG04132	BEB	2	SAS
HG04134	BD45	0	0	BEB	1	SAS
HG04135	BD45	0	0	BEB	2	SAS
HG04136	BD45	HG04134	HG04135	BEB	2	SAS
HG04140	BD47	0	0	BEB	1	SAS
HG04141	BD47	0	0	BEB	2	SAS
HG04142	BD47	HG04140	HG04141	BEB	2	SAS
HG04144	BD48	0	0	BEB	2	SAS
HG04146	BD49	0	0	BEB	1	SAS
HG04147	BD49	0	0	BEB	2	SAS
HG04148	BD49	HG04146	HG04147	BEB	2	SAS
HG04149	BD50	0	0	BEB	1	SAS
HG04150	BD50	0	0	BEB	2	SAS
HG04151	BD50	HG04149	HG04150	BEB	2	SAS
